GAME_ID,PLAYER_ID,FGM,FGA,FG3M,FG3A,PTS,PLUS_MINUS
22100140,1630596,11,15,2,4,26,26
22100140,1629628,3,13,0,6,6,-14
22100141,202711,4,13,1,5,13,-9
22100141,1630532,4,10,0,1,10,4
22100142,1628960,6,12,3,8,19,-2
22100142,203484,2,6,1,2,5,6
22100143,1630537,6,12,2,5,15,19
22100143,203084,6,15,1,6,22,-14
22100144,1629640,9,16,0,1,22,-10
22100144,1629652,5,14,1,7,13,12
22100145,1630256,7,11,2,4,21,-5
22100145,203952,4,11,1,6,16,5
22100146,202330,5,14,2,4,15,-17
22100146,202331,9,22,2,10,20,13
22100133,1630256,4,7,0,1,10,-4
22100133,1629008,1,4,0,2,2,8
22100134,202711,5,11,2,5,16,16
22100134,202710,11,15,0,0,27,-12
22100135,1629003,4,10,0,2,13,6
22100135,1629750,1,5,0,1,2,-7
22100136,1628369,12,19,6,8,32,5
22100136,1627827,3,6,3,5,9,5
22100137,1629631,1,9,0,2,2,-7
22100137,1628969,4,8,0,4,8,10
22100138,203145,1,3,0,1,4,-14
22100138,1626181,4,11,1,4,13,26
22100124,201142,12,27,2,6,29,20
22100124,1630180,5,13,2,5,12,-19
22100125,1629640,8,15,0,0,20,11
22100125,1630532,3,11,1,5,7,-7
22100126,1630217,4,8,1,4,10,-14
22100126,203484,4,10,4,7,12,23
22100127,1629731,4,9,0,4,8,-3
22100127,1630567,7,19,0,0,14,5
22100128,1629628,8,21,2,7,20,15
22100128,1626192,2,8,1,7,5,-20
22100129,202331,4,20,0,7,21,18
22100129,1630183,2,3,1,1,5,0
22100130,1628404,3,5,1,2,10,-22
22100130,203952,6,13,1,5,16,8
22100131,1630537,4,7,1,3,9,-1
22100131,1626181,8,14,3,4,25,1
22100132,202330,10,17,3,6,25,-20
22100132,203084,3,8,2,6,14,23
22100119,1629003,7,13,2,5,16,13
22100119,1630180,3,9,1,5,7,3
22100120,202711,7,16,2,7,23,-5
22100120,1629631,7,9,0,2,14,-4
22100121,1628369,3,13,2,5,10,10
22100121,202710,8,18,0,4,20,-10
22100122,1630256,5,8,1,2,14,0
22100122,1628969,7,11,2,4,16,4
22100123,1629652,4,14,3,11,17,-1
22100123,203145,0,4,0,2,2,-12
22100108,1626181,9,16,3,6,23,4
22100108,1629731,3,7,1,4,7,10
22100109,1629628,8,20,2,6,23,-14
22100109,1627747,8,18,1,5,21,18
22100110,1628369,4,16,1,6,14,12
22100110,1630532,4,10,1,7,9,-15
22100111,1629750,2,6,0,0,4,-11
22100111,1629680,3,4,2,3,8,13
22100112,1629004,4,8,2,4,15,0
22100112,203484,4,13,0,6,8,-8
22100113,1629631,10,11,6,6,26,4
22100113,201142,13,20,2,6,32,15
22100114,1629008,6,12,0,3,12,7
22100114,1630217,6,14,3,7,16,5
22100115,202331,11,18,4,8,32,8
22100115,1629006,4,8,2,5,11,-3
22100116,203501,7,17,3,9,23,18
22100116,1629640,7,18,0,2,16,-1
22100117,202330,8,15,2,3,23,-17
22100117,203952,4,12,2,6,14,9
22100118,1628404,4,11,1,4,9,-6
22100118,203084,5,8,4,6,23,13
22100103,1626192,6,8,4,5,16,27
22100103,1630180,2,13,0,4,4,-25
22100104,202710,4,11,0,1,23,14
22100104,203501,5,15,4,13,17,-9
22100105,203084,7,14,2,5,23,-16
22100105,202711,7,11,2,5,20,10
22100106,1628404,6,11,2,5,16,-7
22100106,1628969,9,15,2,4,22,19
22100107,1630256,9,15,2,4,20,1
22100107,203145,3,7,1,3,7,2
22100094,1628374,7,19,2,8,21,1
22100094,202330,2,7,2,6,6,-4
22100095,1629022,4,11,2,6,10,5
22100095,1627747,6,19,3,7,16,16
22100096,1626181,8,12,1,3,22,-12
22100096,201980,4,5,3,4,11,5
22100097,203484,4,10,2,6,11,-15
22100097,1629631,5,11,1,4,11,5
22100098,1629750,3,6,0,1,6,-14
22100098,1628369,8,22,1,4,20,-24
22100099,1628384,13,27,4,12,36,15
22100099,1629628,9,13,5,8,27,-13
22100100,1629008,4,9,0,3,10,3
22100100,1630217,5,11,1,5,11,3
22100101,1630532,10,18,5,9,28,14
22100101,1630183,2,4,1,3,5,0
22100102,1629647,5,12,3,8,15,-13
22100102,202331,11,24,5,8,32,1
22100089,203084,5,16,1,8,15,4
22100089,1627827,5,13,1,6,13,4
22100090,1626181,6,15,2,9,14,-21
22100090,202330,5,8,2,3,12,13
22100091,202711,3,9,1,5,14,5
22100091,1626192,2,7,1,5,5,-12
22100092,1630180,4,8,1,4,9,-15
22100092,201142,10,13,1,1,23,10
22100093,1630256,3,7,0,2,6,-11
22100093,203145,3,7,2,3,9,4
22100078,1628369,10,32,0,5,27,2
22100078,203484,1,5,0,2,2,3
22100079,1630532,8,15,3,6,19,-6
22100079,1630180,4,17,3,8,13,-4
22100080,1629628,12,18,6,8,35,8
22100080,1628404,6,8,2,3,16,-8
22100081,1630567,9,17,0,1,21,1
22100081,1627747,6,10,1,3,15,-2
22100082,1629631,3,10,0,2,7,-8
22100082,201980,2,3,2,3,6,19
22100083,202711,5,14,2,6,14,11
22100083,1629750,2,2,0,0,5,-5
22100084,202710,8,12,1,2,27,22
22100084,1630217,6,13,5,10,17,-24
22100085,1629022,1,8,1,6,4,5
22100085,203114,8,21,2,7,19,-9
22100086,1629652,4,10,2,6,14,-24
22100086,203952,5,13,4,5,14,17
22100087,1629008,3,14,0,6,7,10
22100087,1630183,1,6,0,4,2,-11
22100088,1628374,3,5,2,4,11,-4
22100088,1628969,5,9,0,2,10,25
22100071,1630532,4,12,1,2,10,1
22100071,1630567,9,14,1,2,21,-13
22100072,203200,2,8,2,5,6,10
22100072,201142,7,10,1,3,22,10
22100073,202330,8,15,5,8,23,-9
22100073,202710,12,19,1,3,32,-1
22100074,203084,5,9,2,3,18,5
22100074,1630529,5,8,0,0,12,-4
22100075,203493,2,6,1,5,5,-28
22100075,1629008,5,12,1,6,12,14
22100076,202331,15,24,6,9,42,-10
22100076,1626181,4,10,4,6,12,27
22100077,1630596,10,16,1,2,23,0
22100077,2544,10,22,1,10,26,9
22100065,1628367,3,9,1,4,7,-18
22100065,201980,0,5,0,5,0,19
22100066,1629631,4,9,2,3,10,-6
22100066,203484,7,10,5,7,21,10
22100067,1629628,8,15,1,3,20,3
